state,year,top1_income_share,top10_income_share,bottom90_income_share
New Mexico,2016,14.11,44.42,55.59
New Mexico,2017,15.049999999999997,46.21,53.6
New Mexico,2018,15.32,46.58,53.339999999999996
New York,2014,33.099999999999994,61.01,38.95
New York,2015,32.22999999999999,59.75,40.26
New York,2016,29.220000000000002,56.82000000000001,43.2
New York,2017,31.309999999999995,58.86,41.4
New York,2018,29.73,57.10000000000001,42.980000000000004
North Carolina,2014,16.759999999999998,46.400000000000006,53.620000000000005
North Carolina,2015,17.75,47.55,52.45000000000001
North Carolina,2016,17.43,47.949999999999996,52.03
North Carolina,2017,17.379999999999995,47.97,51.88
North Carolina,2018,18.64,50.06,49.88
North Dakota,2014,18.52999999999999,42.69,57.269999999999996
North Dakota,2015,15.039999999999997,38.65,61.32000000000001
North Dakota,2016,14.769999999999994,40.14,59.85
North Dakota,2017,14.21,38.269999999999996,61.620000000000005
North Dakota,2018,14.469999999999994,39.08,60.870000000000005
Ohio,2014,16.23,43.62,56.400000000000006
Ohio,2015,16.02,43.22,56.769999999999996
Ohio,2016,15.920000000000002,43.55,56.43
Ohio,2017,15.669999999999995,43.6,56.24
Ohio,2018,16.779999999999994,44.41,55.54
Oklahoma,2014,16.799999999999994,41.22,58.78
Oklahoma,2015,16.499999999999993,42.03,57.97
Oklahoma,2016,16.02,43.309999999999995,56.68000000000001
Oklahoma,2017,16.259999999999998,43.21,56.66
Oklahoma,2018,16.12,42.69,57.26
Oregon,2014,16.42,46.62,53.410000000000004
Oregon,2015,16.869999999999997,46.910000000000004,53.09
Oregon,2016,17.109999999999992,47.510000000000005,52.480000000000004
Oregon,2017,17.549999999999997,48.16,51.7
Oregon,2018,17.379999999999995,47.31,52.64
Pennsylvania,2014,17.689999999999994,45.75,54.26
Pennsylvania,2015,18.489999999999995,46.52,53.480000000000004
Pennsylvania,2016,17.61999999999999,45.83,54.16000000000001
Pennsylvania,2017,17.91999999999999,45.98,53.94
Pennsylvania,2018,18.47,46.37,53.61
Rhode Island,2014,18.269999999999996,46.75,53.28000000000001
Rhode Island,2015,16.54,45.33,54.67000000000001
Rhode Island,2016,16.879999999999995,46.39,53.61
Rhode Island,2017,17.489999999999995,46.2,53.7
Rhode Island,2018,17.299999999999994,45.9,54.06000000000001
South Carolina,2014,16.179999999999993,46.86,53.18000000000001
South Carolina,2015,16.720000000000002,47.43,52.56000000000001
South Carolina,2016,17.24,48.38,51.59
South Carolina,2017,17.23,48.33,51.49
South Carolina,2018,17.830000000000002,48.9,51.03
South Dakota,2014,17.80999999999999,42.309999999999995,57.68
South Dakota,2015,17.34,41.4,58.58
South Dakota,2016,17.80999999999999,42.65,57.34
South Dakota,2017,16.720000000000002,41.410000000000004,58.510000000000005
South Dakota,2018,18.369999999999997,42.8,57.190000000000005
Tennessee,2014,18.66,46.46,53.56000000000001
Tennessee,2015,18.489999999999995,46.410000000000004,53.59
Tennessee,2016,19.299999999999994,47.910000000000004,52.09
Tennessee,2017,18.669999999999998,47.4,52.5
Tennessee,2018,20.32999999999999,48.82,51.160000000000004
Texas,2014,22.619999999999997,49.669999999999995,50.32
Texas,2015,21.16,48.92,51.07000000000001
Texas,2016,18.809999999999995,47.02,52.970000000000006
Texas,2017,23.05999999999999,51.23,48.8
Texas,2018,21.309999999999995,48.809999999999995,51.18000000000001
Utah,2014,17.109999999999992,42.66,57.36
Utah,2015,16.65,41.74,58.25
Utah,2016,17.779999999999994,42.88,57.120000000000005
Utah,2017,17.71999999999999,42.449999999999996,57.510000000000005
Utah,2018,18.519999999999992,43.269999999999996,56.720000000000006
Vermont,2014,15.169999999999995,42.27,57.76
Vermont,2015,14.439999999999998,41.53,58.47
Vermont,2016,14.510000000000002,41.94,58.050000000000004
Vermont,2017,15.249999999999996,43.49,56.36
Vermont,2018,15.049999999999997,42.58,57.37
Virginia,2014,15.949999999999998,43.64,56.39000000000001
Virginia,2015,15.839999999999998,43.66,56.34
Virginia,2016,15.749999999999996,44.41,55.580000000000005
Virginia,2017,16.279999999999994,44.97,54.89000000000001
Virginia,2018,16.559999999999995,45.050000000000004,54.89000000000001
Washington,2014,19.650000000000002,46.589999999999996,53.42
Washington,2015,19.539999999999992,46.42,53.59
Washington,2016,20.87,48.53,51.5
Washington,2017,20.199999999999996,49.059999999999995,50.9
Washington,2018,20.309999999999995,49.54,50.43
West Virginia,2014,14.559999999999995,45.550000000000004,54.53
West Virginia,2015,13.969999999999994,45.39,54.63
West Virginia,2016,13.239999999999997,44.84,55.16
West Virginia,2017,13.259999999999994,45.019999999999996,54.68000000000001
West Virginia,2018,13.359999999999994,44.440000000000005,55.44
Wisconsin,2014,16.289999999999992,42.36,57.67
Wisconsin,2015,16.520000000000003,42.65,57.35
Wisconsin,2016,16.959999999999997,43.730000000000004,56.269999999999996
Wisconsin,2017,15.999999999999993,42.88,56.98
Wisconsin,2018,17.199999999999992,43.02,56.96
Wyoming,2014,27.149999999999995,46.68,53.33
Wyoming,2015,24.509999999999998,43.980000000000004,56.10000000000001
Wyoming,2016,22.309999999999995,43.71,56.39000000000001
Wyoming,2017,27.639999999999997,47.82,52.6
Wyoming,2018,24.569999999999993,45.540000000000006,54.559999999999995
