state,year,veterans,veteran_pct
Nevada,2019,226797,9.317737830392742
Nevada,2020,220528,8.973106477516168
Nevada,2021,214133,8.59513135358678
Nevada,2022,211554,8.382041098365384
Nevada,2023,208681,8.185565263370124
New Hampshire,2014,114934,10.606632490621582
New Hampshire,2015,115165,10.570804148465804
New Hampshire,2016,109607,9.984777830107467
New Hampshire,2017,108747,9.828025149593447
New Hampshire,2018,105511,9.477217527521486
New Hampshire,2019,103279,9.211412344018544
New Hampshire,2020,101029,8.892348965879025
New Hampshire,2021,96398,8.406924519251733
New Hampshire,2022,96226,8.295223259659126
New Hampshire,2023,92892,7.965111692659119
New Jersey,2014,415519,5.947243846887873
New Jersey,2015,399156,5.6997670862997305
New Jersey,2016,388891,5.54129708394782
New Jersey,2017,386332,5.486426656684081
New Jersey,2018,365075,5.176125072592646
New Jersey,2019,356539,5.049770561542463
New Jersey,2020,342829,4.6689436509712365
New Jersey,2021,331723,4.506912474953521
New Jersey,2022,318312,4.322839130445411
New Jersey,2023,307611,4.155969189102941
New Mexico,2014,170308,10.551443460116117
New Mexico,2015,169296,10.460443389931045
New Mexico,2016,160598,9.878102937757335
New Mexico,2017,163196,9.998272315012112
New Mexico,2018,158814,9.686680585467967
New Mexico,2019,154478,9.361661898306359
New Mexico,2020,151764,9.086369726949094
New Mexico,2021,149107,8.889253212589836
New Mexico,2022,156686,9.316177825872392
New Mexico,2023,153410,9.06791567979222
New York,2014,892614,5.6887012540566255
New York,2015,856805,5.451699421212077
New York,2016,832529,5.294693991974986
New York,2017,818572,5.207278199479674
New York,2018,788576,5.021508899185651
New York,2019,775727,4.953753274634964
New York,2020,756608,4.689701082754126
New York,2021,733362,4.588658106484159
New York,2022,685315,4.315585370555078
New York,2023,662406,4.180738029905639
North Carolina,2014,771922,9.923792485387281
North Carolina,2015,755918,9.595724818581775
North Carolina,2016,750072,9.379224935239542
North Carolina,2017,743888,9.174552028837097
North Carolina,2018,727470,8.847188703540919
North Carolina,2019,722184,8.670696993247343
North Carolina,2020,710453,8.590888605744993
North Carolina,2021,695422,8.292410180620724
North Carolina,2022,697240,8.198079252724218
North Carolina,2023,688933,7.973918468303196
North Dakota,2014,59264,10.24269008880086
North Dakota,2015,58963,9.992492454323449
North Dakota,2016,59227,10.054101034998464
North Dakota,2017,55698,9.459434213811269
North Dakota,2018,57217,9.694920998009065
North Dakota,2019,53777,9.087114773046027
North Dakota,2020,53283,8.845310406765087
North Dakota,2021,52440,8.7037055478654
North Dakota,2022,48031,7.948165076129028
North Dakota,2023,48505,7.961114375469822
Ohio,2014,876457,9.613244531040403
Ohio,2015,857788,9.379455795880592
Ohio,2016,834749,9.09786161032398
Ohio,2017,825222,8.95675766201862
Ohio,2018,789440,8.544111312418963
Ohio,2019,778140,8.39880905159643
Ohio,2020,735276,7.8891106547993175
Ohio,2021,715843,7.690313623048155
Ohio,2022,689469,7.396852714906471
Ohio,2023,669181,7.146827036962278
Oklahoma,2014,319140,10.7274959226507
Oklahoma,2015,314309,10.472180880004505
Oklahoma,2016,313941,10.402169094185155
Oklahoma,2017,300848,9.935866420907699
Oklahoma,2018,306962,10.096441172397846
Oklahoma,2019,305527,9.986565905510266
Oklahoma,2020,293842,9.613968296761524
Oklahoma,2021,285083,9.245414393416327
Oklahoma,2022,284028,9.135100608067557
Oklahoma,2023,282482,8.98471070568665
Oregon,2014,340913,10.807668872501
Oregon,2015,332203,10.368742487645484
Oregon,2016,329957,10.083597807601274
Oregon,2017,320110,9.626540393818757
Oregon,2018,314478,9.346732144932334
Oregon,2019,298556,8.781030414313365
Oregon,2020,289005,8.443417228480175
Oregon,2021,284576,8.257239040826002
Oregon,2022,275349,7.994860739095403
Oregon,2023,265757,7.696734353668009
Pennsylvania,2014,919067,8.966515190110899
Pennsylvania,2015,892787,8.701862613639763
Pennsylvania,2016,881103,8.577828020731578
Pennsylvania,2017,843432,8.19602069819984
Pennsylvania,2018,837442,8.119156953058619
Pennsylvania,2019,803882,7.792183370396872
Pennsylvania,2020,781444,7.475478625151876
Pennsylvania,2021,759148,7.232831376784489
Pennsylvania,2022,714354,6.8172331359478555
Pennsylvania,2023,688201,6.558843327454018
Rhode Island,2014,75676,8.827835281244642
Rhode Island,2015,70169,8.166592956402319
Rhode Island,2016,66754,7.747480913904241
Rhode Island,2017,64018,7.423590407243387
Rhode Island,2018,65828,7.602764011489381
Rhode Island,2019,66334,7.654591381632166
Rhode Island,2020,62909,7.007048371790473
Rhode Island,2021,61192,6.78812942617277
Rhode Island,2022,57268,6.357036609462069
Rhode Island,2023,55003,6.07824372648953
South Carolina,2014,411759,10.827548467833482
South Carolina,2015,415414,10.74954178840574
