state,chr_release_year,unemployment_rate,pct_frequent_mental_distress,income_inequality,social_associations,pct_uninsured,drug_overdose_deaths,pct_excessive_drinking,pct_adult_smoking
North Carolina,2019,4.55041603,12.33323882,4.7586385463,11.485407993,12.24477608,19.489210669,16.69451425,17.87985476
North Carolina,2020,3.9045173,12.79671386,4.7567164853,11.497632872,12.64455498,21.520053336,16.86620227,17.19453047
North Carolina,2021,3.86905236,12.62431908,4.7042356482,11.453616369,12.74118787,22.279571668,17.59702142,17.93806278
North Carolina,2022,7.34129854,14.01268832,4.6744647433,11.335721567,13.436801849999998,24.373638634,16.5439424,18.86418403
North Carolina,2023,4.80839296,13.08836929,4.7208885425,11.112344768,12.71892007,24.373638634,17.04910939,17.0
North Dakota,2019,2.60397437,9.09913795,4.4264107486,16.016845394,7.57358687,9.0738026104,25.8830243,19.77365304
North Dakota,2020,2.60844616,10.33170178,4.4195022288,16.150533563,8.57611943,9.4571091509,24.12910424,18.26962381
North Dakota,2021,2.37337773,11.71513141,4.4481286934,15.958909426,8.0536902,9.6595788775,23.74232456,19.6617899
North Dakota,2022,5.12155615,11.19866282,4.447280517,15.8517286,7.22071389,11.628679646,24.11584563,17.41866344
North Dakota,2023,3.676604540000001,11.50099133,4.5066592288,15.314075752,8.22127096,11.628679646,23.49951367,17.9
Ohio,2019,4.99742908,13.54394813,4.7508831491,11.195610818,6.67241217,36.547187938,19.06918166,22.506368400000003
Ohio,2020,4.57605118,14.73397823,4.737888089,11.162566649,7.094155000000001,38.384066276,20.20739274,21.13145981
Ohio,2021,4.11469753,15.50698275,4.6780954791,11.043298731,7.725585259999999,38.079580158,18.48308832,21.4123643
Ohio,2022,8.14701444,17.06422466,4.628654373,10.92214114,7.899635570000001,38.307174727,20.6864749,21.75248292
Ohio,2023,5.14231578,16.12823461,4.6238429927,10.76863621,8.07796667,38.307174727,18.97454757,20.200000000000003
Oklahoma,2019,4.291181470000001,14.718963469999998,4.6346190386,11.466624324,15.98517075,19.658733564,12.81521081,19.59327492
Oklahoma,2020,3.39349663,15.95846071,4.6563767048,11.628486765,16.51508079,19.529554726,14.14671699,20.14787789
Oklahoma,2021,3.2943081899999997,15.63123428,4.6466702375,11.51638098,16.63127314,18.054395459,14.90527495,19.89871068
Oklahoma,2022,6.14364659,16.11528219,4.5519413731,11.319264154,16.77978425,17.869117426,14.48202248,19.19234775
Oklahoma,2023,3.83742954,16.31344349,4.5063673733,11.176193226,18.072005129999997,17.869117426,13.76864417,19.6
Oregon,2019,4.12478387,13.68182325,4.5872548194,10.292014223,7.442742149999999,12.563983779,18.53224452,16.210885140000002
Oregon,2020,4.15130488,15.51256797,4.5549926782,10.171923367,8.22938654,12.738439363,18.59276151,16.08781403
Oregon,2021,3.74378646,14.75221844,4.5579826895,10.21305921,8.43756005,13.480754788,19.48762955,15.7442162
Oregon,2022,7.57585548,14.63759637,4.525026738,10.057526109,8.59455633,15.53364964,21.1501194,14.90443486
Oregon,2023,5.222551210000001,14.39683401,4.5210179581,9.9799434493,7.98382836,15.53364964,19.88072696,13.6
